Complaint Number,Major Crime Head,Crime Head and Section,Minor Crime Head,Commits,Month
526370935,"CULPABLE HOMICIDE NOT AMOUNTING TO
MURDER ",Sec.304 IPC,For Dowry,0,01-03-2021
184360391,"CULPABLE HOMICIDE NOT AMOUNTING TO
MURDER ",Sec.304 IPC,Due to Communalism,0,01-03-2021
153149631,"CULPABLE HOMICIDE NOT AMOUNTING TO
MURDER ",Sec.304 IPC,Due to Casteism,0,01-03-2021
561485617,"CULPABLE HOMICIDE NOT AMOUNTING TO
MURDER ",Sec.304 IPC,Witch Craft (Sorcery),0,01-03-2021
607105606,"CULPABLE HOMICIDE NOT AMOUNTING TO
MURDER ",Sec.304 IPC,For Human Sacrifice,0,01-03-2021
336855089,"CULPABLE HOMICIDE NOT AMOUNTING TO
MURDER ",Sec.304 IPC,Terrorism /Naxalism / Extremism,0,01-03-2021
561118142,"CULPABLE HOMICIDE NOT AMOUNTING TO
MURDER ",Sec.304 IPC,For Political Reasons,0,01-03-2021
825795086,"CULPABLE HOMICIDE NOT AMOUNTING TO
MURDER ",Sec.304 IPC,Adultery,0,01-03-2021
692485374,"CULPABLE HOMICIDE NOT AMOUNTING TO
MURDER ",Sec.304 IPC,Property Disputes,0,01-03-2021
426157232,"CULPABLE HOMICIDE NOT AMOUNTING TO
MURDER ",Sec.304 IPC,Electoral Gain,1,01-03-2021
623200663,"CULPABLE HOMICIDE NOT AMOUNTING TO
MURDER ",Sec.304 IPC,Gang Rivalry,0,01-03-2021
242903059,"CULPABLE HOMICIDE NOT AMOUNTING TO
MURDER ",Sec.304 IPC,Love Intrigue,0,01-03-2021
358552029,"CULPABLE HOMICIDE NOT AMOUNTING TO
MURDER ",Sec.304 IPC,Professional,0,01-03-2021
738387185,"CULPABLE HOMICIDE NOT AMOUNTING TO
MURDER ",Sec.304 IPC,Sudden Quarrel,1,01-03-2021
995515637,"ATTEMPT TO CULPABLE HOMICIDE NOT
AMOUNTING TO MURDER ",Sec. 308 IPC,Others,0,01-03-2021
163603211,"ATTEMPT TO CULPABLE HOMICIDE NOT
AMOUNTING TO MURDER ",Sec. 308 IPC,For Gain,1,01-03-2021
788055451,"ATTEMPT TO CULPABLE HOMICIDE NOT
AMOUNTING TO MURDER ",Sec. 308 IPC,Over Civil Dispute,0,01-03-2021
471989363,"ATTEMPT TO CULPABLE HOMICIDE NOT
AMOUNTING TO MURDER ",Sec. 308 IPC,Due to Personal Vendetta or enemity,0,01-03-2021
411809607,"ATTEMPT TO CULPABLE HOMICIDE NOT
AMOUNTING TO MURDER ",Sec. 308 IPC,Due to Sexual jealousy,0,01-03-2021
249234887,"ATTEMPT TO CULPABLE HOMICIDE NOT
AMOUNTING TO MURDER ",Sec. 308 IPC,For Dowry,0,01-03-2021
428109409,"ATTEMPT TO CULPABLE HOMICIDE NOT
AMOUNTING TO MURDER ",Sec. 308 IPC,Due to Communalism,0,01-03-2021
709355164,"ATTEMPT TO CULPABLE HOMICIDE NOT
AMOUNTING TO MURDER ",Sec. 308 IPC,Due to Casteism,0,01-03-2021
441284640,"ATTEMPT TO CULPABLE HOMICIDE NOT
AMOUNTING TO MURDER ",Sec. 308 IPC,Witch Craft (Sorcery),0,01-03-2021
578363132,"ATTEMPT TO CULPABLE HOMICIDE NOT
AMOUNTING TO MURDER ",Sec. 308 IPC,For Human Sacrifice,0,01-03-2021
682748041,"ATTEMPT TO CULPABLE HOMICIDE NOT
AMOUNTING TO MURDER ",Sec. 308 IPC,Terrorism /Naxalism / Extremism,0,01-03-2021
773827796,"ATTEMPT TO CULPABLE HOMICIDE NOT
AMOUNTING TO MURDER ",Sec. 308 IPC,For Political Reasons,0,01-03-2021
705138134,"ATTEMPT TO CULPABLE HOMICIDE NOT
AMOUNTING TO MURDER ",Sec. 308 IPC,Adultery,0,01-03-2021
923246497,"ATTEMPT TO CULPABLE HOMICIDE NOT
AMOUNTING TO MURDER ",Sec. 308 IPC,Property Disputes,0,01-03-2021
563912211,"ATTEMPT TO CULPABLE HOMICIDE NOT
AMOUNTING TO MURDER ",Sec. 308 IPC,Electoral Gain,0,01-03-2021
700848832,"ATTEMPT TO CULPABLE HOMICIDE NOT
AMOUNTING TO MURDER ",Sec. 308 IPC,Gang Rivalry,0,01-03-2021
233066092,"ATTEMPT TO CULPABLE HOMICIDE NOT
AMOUNTING TO MURDER ",Sec. 308 IPC,Love Intrigue,0,01-03-2021
700633985,"ATTEMPT TO CULPABLE HOMICIDE NOT
AMOUNTING TO MURDER ",Sec. 308 IPC,Professional,0,01-03-2021
760339443,"ATTEMPT TO CULPABLE HOMICIDE NOT
AMOUNTING TO MURDER ",Sec. 308 IPC,Sudden Quarrel,0,01-03-2021
536591629,RAPE ,"Sec.376, 376(A) to 376 (D) IPC",Others,8,01-03-2021
557672328,RAPE ,"Sec.376, 376(A) to 376 (D) IPC",Custodial Rape,0,01-03-2021
225219535,RAPE ,"Sec.376, 376(A) to 376 (D) IPC",Attempt to Commit,0,01-03-2021
341945672,RAPE ,"Sec.376, 376(A) to 376 (D) IPC",By a Gang,1,01-03-2021
446389841,RAPE ,"Sec.376, 376(A) to 376 (D) IPC",By Parents,0,01-03-2021
731365141,RAPE ,"Sec.376, 376(A) to 376 (D) IPC",By Hospital Staff,0,01-03-2021
486366877,RAPE ,"Sec.376, 376(A) to 376 (D) IPC",By Husband During Sepearation,2,01-03-2021
486150171,RAPE ,"Sec.376, 376(A) to 376 (D) IPC",By Neighbours,4,01-03-2021
663027982,RAPE ,"Sec.376, 376(A) to 376 (D) IPC",By Relatives,8,01-03-2021
279470992,RAPE ,"Sec.376, 376(A) to 376 (D) IPC",In Jail Custody,0,01-03-2021
826851134,RAPE ,"Sec.376, 376(A) to 376 (D) IPC",In Remand Home,0,01-03-2021
196989449,RAPE ,"Sec.376, 376(A) to 376 (D) IPC",InCest,0,01-03-2021
156004759,RAPE ,"Sec.376, 376(A) to 376 (D) IPC",Known Person,25,01-03-2021
123350821,RAPE ,"Sec.376, 376(A) to 376 (D) IPC",Unknown Person,0,01-03-2021
671449587,RAPE ,"Sec.376, 376(A) to 376 (D) IPC",On Minor,0,01-03-2021
272952405,KIDNAPPING AND ABDUCTION ,"Sec.360, 361,
363 to 369 IPC",Others,59,01-03-2021
582385681,KIDNAPPING AND ABDUCTION ,"Sec.360, 361,
363 to 369 IPC",Missing - Boy,59,01-03-2021
995461031,KIDNAPPING AND ABDUCTION ,"Sec.360, 361,
363 to 369 IPC",Missing - Girl,220,01-03-2021
639882672,KIDNAPPING AND ABDUCTION ,"Sec.360, 361,
363 to 369 IPC",For Ransom - of Children,2,01-03-2021
900249555,KIDNAPPING AND ABDUCTION ,"Sec.360, 361,
363 to 369 IPC",For Ransom - of Cildren for Begging,0,01-03-2021
226810332,KIDNAPPING AND ABDUCTION ,"Sec.360, 361,
363 to 369 IPC",For Ransom - of Women,1,01-03-2021
236600182,KIDNAPPING AND ABDUCTION ,"Sec.360, 361,
363 to 369 IPC",For Ransom - of Girls for Immoral Purpose,0,01-03-2021
126102265,KIDNAPPING AND ABDUCTION ,"Sec.360, 361,
363 to 369 IPC",For Ransom - of  Others,7,01-03-2021
688508078,KIDNAPPING AND ABDUCTION ,"Sec.360, 361,
363 to 369 IPC",Procuration of Minor Girls - For Prostitution,0,01-03-2021
477938383,KIDNAPPING AND ABDUCTION ,"Sec.360, 361,
363 to 369 IPC",Procuration of Minor Girls - Importring of Girl,0,01-03-2021
184744868,KIDNAPPING AND ABDUCTION ,"Sec.360, 361,
363 to 369 IPC",Procuration of Minor Girls - For other Purpose,3,01-03-2021
620941125,KIDNAPPING AND ABDUCTION ,"Sec.360, 361,
363 to 369 IPC",Espionage,0,01-03-2021
512295794,KIDNAPPING AND ABDUCTION ,"Sec.360, 361,
363 to 369 IPC",Intent to Steal From Child,0,01-03-2021
404006879,KIDNAPPING AND ABDUCTION ,"Sec.360, 361,
363 to 369 IPC",Murder (Homicide),0,01-03-2021
360435955,KIDNAPPING AND ABDUCTION ,"Sec.360, 361,
363 to 369 IPC",Obtain Signature Forcibly,0,01-03-2021
413766780,KIDNAPPING AND ABDUCTION ,"Sec.360, 361,
363 to 369 IPC",Recovering Loan,0,01-03-2021
603327765,KIDNAPPING AND ABDUCTION ,"Sec.360, 361,
363 to 369 IPC",Settling any Disputes,1,01-03-2021
547176406,KIDNAPPING AND ABDUCTION ,"Sec.360, 361,
363 to 369 IPC",Unnatural Lust / Illicit Intercourse,0,01-03-2021
312237740,KIDNAPPING AND ABDUCTION ,"Sec.360, 361,
363 to 369 IPC",Wrongful Confinement,4,01-03-2021
100937987,KIDNAPPING AND ABDUCTION ,"Sec.360, 361,
363 to 369 IPC",For Exporting,0,01-03-2021
644167597,KIDNAPPING AND ABDUCTION ,"Sec.360, 361,
363 to 369 IPC",From Lawful Guardianship,0,01-03-2021
373020965,KIDNAPPING AND ABDUCTION ,"Sec.360, 361,
363 to 369 IPC",For Camel Racing Etc.,0,01-03-2021
402531807,KIDNAPPING AND ABDUCTION ,"Sec.360, 361,
363 to 369 IPC",To Compel For Marriage,1,01-03-2021
170623766,KIDNAPPING AND ABDUCTION ,"Sec.360, 361,
363 to 369 IPC",For Slavery,0,01-03-2021
976869333,KIDNAPPING AND ABDUCTION ,"Sec.360, 361,
363 to 369 IPC",For Stealing From its Person,0,01-03-2021
547451938,DACOITY ,Sec. 395 to 398 IPC ,Others,nan,01-03-2021
406987631,DACOITY ,Sec. 395 to 398 IPC ,At ATM,0,01-03-2021
410752412,DACOITY ,Sec. 395 to 398 IPC ,At Residential Premises,2,01-03-2021
758776474,DACOITY ,Sec. 395 to 398 IPC ,On Highways,2,01-03-2021
679536150,DACOITY ,Sec. 395 to 398 IPC ,In Trains,0,01-03-2021
267981545,DACOITY ,Sec. 395 to 398 IPC ,At Banks,0,01-03-2021
344289043,DACOITY ,Sec. 395 to 398 IPC ,At Commercial Places / Establishments,1,01-03-2021
983087885,DACOITY ,Sec. 395 to 398 IPC ,On Other Roads,4,01-03-2021
598748105,DACOITY ,Sec. 395 to 398 IPC ,In Other Places,7,01-03-2021
575109055,DACOITY ,Sec. 395 to 398 IPC ,River & Sea,0,01-03-2021
841472382,Preparation And Assembly for Dacoity,,Others,33,01-03-2021
653685109,Robbery ,Sec.392 to 394 IPC,Others,nan,01-03-2021
661648944,Robbery ,Sec.392 to 394 IPC,At ATM,0,01-03-2021
721294024,Robbery ,Sec.392 to 394 IPC,At Residential Premises,13,01-03-2021
549374286,Robbery ,Sec.392 to 394 IPC,On Highways,15,01-03-2021
103837071,Robbery ,Sec.392 to 394 IPC,In Trains,4,01-03-2021
890663672,Robbery ,Sec.392 to 394 IPC,At Banks,2,01-03-2021
665641150,Robbery ,Sec.392 to 394 IPC,At Commercial Places / Establishments,6,01-03-2021
328065989,Robbery ,Sec.392 to 394 IPC,In Other Places,62,01-03-2021
898575888,Robbery ,Sec.392 to 394 IPC,Chain Snatching,74,01-03-2021
812240774,Robbery ,Sec.392 to 394 IPC,Attempt to Commit,1,01-03-2021
614193807,BURGLARY - NIGHT ,"Sec. 380 IPC R/W 453 TO
460, 462 IPC",Others,nan,01-03-2021
181849180,BURGLARY - NIGHT ,"Sec. 380 IPC R/W 453 TO
460, 462 IPC",At Residential Premises,167,01-03-2021
700342447,BURGLARY - NIGHT ,"Sec. 380 IPC R/W 453 TO
460, 462 IPC",On Highways,0,01-03-2021
310507933,BURGLARY - NIGHT ,"Sec. 380 IPC R/W 453 TO
460, 462 IPC",In Trains,0,01-03-2021
719793647,BURGLARY - NIGHT ,"Sec. 380 IPC R/W 453 TO
460, 462 IPC",At Banks,3,01-03-2021
550770757,BURGLARY - NIGHT ,"Sec. 380 IPC R/W 453 TO
460, 462 IPC",At Commercial Places / Establishments,39,01-03-2021
578668567,BURGLARY - NIGHT ,"Sec. 380 IPC R/W 453 TO
460, 462 IPC",In Other Places,52,01-03-2021
197829530,BURGLARY - NIGHT ,"Sec. 380 IPC R/W 453 TO
460, 462 IPC",Temple Theft,30,01-03-2021
166742167,BURGLARY - DAY ,"Sec. 380 IPC R/W 453 TO
460, 462 IPC",Others,nan,01-03-2021
316843831,BURGLARY - DAY ,"Sec. 380 IPC R/W 453 TO
460, 462 IPC",At Residential Premises,83,01-03-2021
706671765,BURGLARY - DAY ,"Sec. 380 IPC R/W 453 TO
460, 462 IPC",On Highways,0,01-03-2021
101826512,BURGLARY - DAY ,"Sec. 380 IPC R/W 453 TO
460, 462 IPC",In Trains,0,01-03-2021
833444128,BURGLARY - DAY ,"Sec. 380 IPC R/W 453 TO
460, 462 IPC",At Banks,0,01-03-2021
304681047,BURGLARY - DAY ,"Sec. 380 IPC R/W 453 TO
460, 462 IPC",At Commercial Places / Establishments,0,01-03-2021
108207027,BURGLARY - DAY ,"Sec. 380 IPC R/W 453 TO
460, 462 IPC",In Other Places,7,01-03-2021
810006412,BURGLARY - DAY ,"Sec. 380 IPC R/W 453 TO
460, 462 IPC",Temple Theft,4,01-03-2021
723628413,BURGLARY - DAY ,"Sec. 380 IPC R/W 453 TO
460, 462 IPC",Total Burglary (Burglary Day + Burglary Night),385,01-03-2021
921247017,THEFT ,Sec.379 to 389 IPC,Others,nan,01-03-2021
501987671,THEFT ,Sec.379 to 389 IPC,Of Sand,137,01-03-2021
485621843,THEFT ,Sec.379 to 389 IPC,Attempt to Commit,4,01-03-2021
761735618,THEFT ,Sec.379 to 389 IPC,Of ATM,0,01-03-2021
818991369,THEFT ,Sec.379 to 389 IPC,Communication And Elec. Wire,19,01-03-2021
185349892,THEFT ,Sec.379 to 389 IPC,Of Cattle,27,01-03-2021
656746158,THEFT ,Sec.379 to 389 IPC,Of Cycle,2,01-03-2021
615340215,THEFT ,Sec.379 to 389 IPC,Of Automobiles - Of Lorries/Trucks,23,01-03-2021
215246144,THEFT ,Sec.379 to 389 IPC,Of Automobiles - Of Buses,1,01-03-2021
862232211,THEFT ,Sec.379 to 389 IPC,Of Automobiles - Of Cars / Jeeps,34,01-03-2021
345139974,THEFT ,Sec.379 to 389 IPC,Of Automobiles - Of Two Wheelers,819,01-03-2021
717225669,THEFT ,Sec.379 to 389 IPC,Of Automobies - of Three Wheelers,18,01-03-2021
198418384,THEFT ,Sec.379 to 389 IPC,Of Accessories of Motor Vehicle,16,01-03-2021
864181758,THEFT ,Sec.379 to 389 IPC,Govt. Vehicle,0,01-03-2021
460538728,THEFT ,Sec.379 to 389 IPC,"Electronic Goods (Radio, TV, VCR, Acs, OfficeAutomation Equipments)",118,01-03-2021
449957441,THEFT ,Sec.379 to 389 IPC,Of Fire Arms,0,01-03-2021
745849577,THEFT ,Sec.379 to 389 IPC,Of Explosives,0,01-03-2021
410968984,THEFT ,Sec.379 to 389 IPC,Of Cultural - Idols,1,01-03-2021
722669851,THEFT ,Sec.379 to 389 IPC,Of Cultural - Painting,0,01-03-2021
589941657,THEFT ,Sec.379 to 389 IPC,Of Cultrual - Others,17,01-03-2021
135067035,THEFT ,Sec.379 to 389 IPC,Cash,45,01-03-2021
423515333,THEFT ,Sec.379 to 389 IPC,Jewellery,76,01-03-2021
527034510,THEFT ,Sec.379 to 389 IPC,Other Items Not Included Above,92,01-03-2021
859712324,THEFT ,Sec.379 to 389 IPC,In Running Train,4,01-03-2021
889389760,THEFT ,Sec.379 to 389 IPC,Extortion,10,01-03-2021
878934693,THEFT ,Sec.379 to 389 IPC,House Theft,85,01-03-2021
183512256,THEFT ,Sec.379 to 389 IPC,Servant Theft,25,01-03-2021
900601634,RIOTS ,Sec.141 to 153 IPC,Others,275,01-03-2021
211250883,RIOTS ,Sec.141 to 153 IPC,Land Dispute,81,01-03-2021
560141036,RIOTS ,Sec.141 to 153 IPC,Employee - Govt.,0,01-03-2021
576847222,RIOTS ,Sec.141 to 153 IPC,Labour - Private Sector,0,01-03-2021
630792783,RIOTS ,Sec.141 to 153 IPC,Labour - Public Sector,0,01-03-2021
236270553,RIOTS ,Sec.141 to 153 IPC,Linguistic,0,01-03-2021
907328457,RIOTS ,Sec.141 to 153 IPC,Political,4,01-03-2021
421132721,RIOTS ,Sec.141 to 153 IPC,Regional,0,01-03-2021
185373138,RIOTS ,Sec.141 to 153 IPC,Sectarian,0,01-03-2021
184322664,RIOTS ,Sec.141 to 153 IPC,Students,0,01-03-2021
526911650,RIOTS ,Sec.141 to 153 IPC,Tribal,0,01-03-2021
801282953,RIOTS ,Sec.141 to 153 IPC,Due to Village Disputes,1,01-03-2021
249828997,RIOTS ,Sec.141 to 153 IPC,Communal,1,01-03-2021
870813054,RIOTS ,Sec.141 to 153 IPC,Industrial,0,01-03-2021
108406115,RIOTS ,Sec.141 to 153 IPC,Caste,2,01-03-2021
191198437,RIOTS ,Sec.141 to 153 IPC,Agrarian,1,01-03-2021
750828830,OFFENCES AGAINST STATE ,"Sec. 121 to 130,
except 124(A) IPC",Others,0,01-03-2021
621810827,OFFENCES PROMOTING ENEMITY ,"Sec. 153(A),
154(B) & 505 IPC",Others,11,01-03-2021
506956373,CRIMINAL BREACH OF TRUST,,Others,46,01-03-2021
212695450,CHEATING ,Sec.417 to 420 IPC,Others,542,01-03-2021
675532986,COUNTERFEITING ,"Sec. 231 to 263 (A), 489(A)
to 489 (E) IPC ",Others,0,01-03-2021
990970001,COUNTERFEITING ,"Sec. 231 to 263 (A), 489(A)
to 489 (E) IPC ","Stock Share, Debentrue Certificate",0,01-03-2021
979286404,COUNTERFEITING ,"Sec. 231 to 263 (A), 489(A)
to 489 (E) IPC ",Usage of Counterfeit Stamp,0,01-03-2021
807928405,COUNTERFEITING ,"Sec. 231 to 263 (A), 489(A)
to 489 (E) IPC ",Of Coins (Sec 231 to 254 IPC),0,01-03-2021
161063679,COUNTERFEITING ,"Sec. 231 to 263 (A), 489(A)
to 489 (E) IPC ",Of Stamps (Sec.255 to 263(A) IPC),0,01-03-2021
533467093,COUNTERFEITING ,"Sec. 231 to 263 (A), 489(A)
to 489 (E) IPC ","Of Currency Notes And Bank Notes (Sec. 489 (A) to489 (E) IPC)",1,01-03-2021
769218279,FORGERY ,"Sec. 465, 468, 471, 473, 476, 477 &
477(A) IPC",Others,nan,01-03-2021
188579031,FORGERY ,"Sec. 465, 468, 471, 473, 476, 477 &
477(A) IPC",Forgery,41,01-03-2021
431318409,FORGERY ,"Sec. 465, 468, 471, 473, 476, 477 &
477(A) IPC",Organised (Racket),0,01-03-2021
152680482,FORGERY ,"Sec. 465, 468, 471, 473, 476, 477 &
477(A) IPC",Forgery of Passport,0,01-03-2021
804764665,FORGERY ,"Sec. 465, 468, 471, 473, 476, 477 &
477(A) IPC",Other Forgery,11,01-03-2021
637862660,CASES OF HURT ,"Sec. 323 to 335 IPC except
328, 332, 333",Others,nan,01-03-2021
390653144,CASES OF HURT ,"Sec. 323 to 335 IPC except
328, 332, 333",Acid Attack (326(a)),1,01-03-2021
788496593,CASES OF HURT ,"Sec. 323 to 335 IPC except
328, 332, 333",Attempt to Acid Attack (326(b)),2,01-03-2021
427254777,CASES OF HURT ,"Sec. 323 to 335 IPC except
328, 332, 333",Grievous Hurt,78,01-03-2021
932919644,CASES OF HURT ,"Sec. 323 to 335 IPC except
328, 332, 333",Simple Hurt,1129,01-03-2021
198273659,CASES OF HURT ,"Sec. 323 to 335 IPC except
328, 332, 333",Custodial,0,01-03-2021
734539775,ADULTERATION ,"Sec. 272, 273 to 276 IPC",Others,1,01-03-2021
698611181,ADULTERATION ,"Sec. 272, 273 to 276 IPC",Attempt to Commit,0,01-03-2021
926948877,ADULTERATION ,"Sec. 272, 273 to 276 IPC",Alcoholic Drink (Liquor),0,01-03-2021
698646921,ADULTERATION ,"Sec. 272, 273 to 276 IPC",Cement & Chemical/Fertiliser,0,01-03-2021
110677082,ADULTERATION ,"Sec. 272, 273 to 276 IPC",Cosmetics,0,01-03-2021
600588661,ADULTERATION ,"Sec. 272, 273 to 276 IPC",Diesel,0,01-03-2021
753669539,ADULTERATION ,"Sec. 272, 273 to 276 IPC",Drug/Medicine,0,01-03-2021
393440223,ADULTERATION ,"Sec. 272, 273 to 276 IPC",Edible Oil,0,01-03-2021
266976542,ADULTERATION ,"Sec. 272, 273 to 276 IPC",Food Grain,0,01-03-2021
171594302,ADULTERATION ,"Sec. 272, 273 to 276 IPC",Kerosene,0,01-03-2021
452454045,ADULTERATION ,"Sec. 272, 273 to 276 IPC",Life Saving Drug,0,01-03-2021
659482447,ADULTERATION ,"Sec. 272, 273 to 276 IPC",Mobile Oil,0,01-03-2021
579553922,ADULTERATION ,"Sec. 272, 273 to 276 IPC",Petrol,0,01-03-2021
407834806,ADULTERATION ,"Sec. 272, 273 to 276 IPC",Petroleum Product,0,01-03-2021
698136839,ADULTERATION ,"Sec. 272, 273 to 276 IPC",Soft Drinks,0,01-03-2021
679239687,ADULTERATION ,"Sec. 272, 273 to 276 IPC",Spices,0,01-03-2021
253843712,AFFRAY ,Sec. 160 IPC ,Others,27,01-03-2021
446081611,ARSON ,"Sec. 435, 436, 438 IPC ",Others,18,01-03-2021
978787334,ARSON ,"Sec. 435, 436, 438 IPC ",Agricultural Produce,6,01-03-2021
111212604,ARSON ,"Sec. 435, 436, 438 IPC ",Attemp to Commit,0,01-03-2021
936462776,ARSON ,"Sec. 435, 436, 438 IPC ",Boat / Ship,0,01-03-2021
989894290,ARSON ,"Sec. 435, 436, 438 IPC ",Dwelling House,2,01-03-2021
260830001,ARSON ,"Sec. 435, 436, 438 IPC ",Educational Institution,0,01-03-2021
707905917,ARSON ,"Sec. 435, 436, 438 IPC ",Govt. Property,1,01-03-2021
165346639,ARSON ,"Sec. 435, 436, 438 IPC ",Industrial Establishment,0,01-03-2021
833018260,ARSON ,"Sec. 435, 436, 438 IPC ",Place of worship,0,01-03-2021
647385272,ARSON ,"Sec. 435, 436, 438 IPC ",Public Place,5,01-03-2021
861626939,ARSON ,"Sec. 435, 436, 438 IPC ",Railway Property,0,01-03-2021
503164029,ARSON ,"Sec. 435, 436, 438 IPC ",Vital Installation,0,01-03-2021
206647137,ARSON ,"Sec. 435, 436, 438 IPC ",Warehouse (Godown),0,01-03-2021
357063724,ASSAULT ,"Sec 356, 357 IPC",Others,nan,01-03-2021
769055169,ASSAULT ,"Sec 356, 357 IPC",Attempt To Commit,0,01-03-2021
388964564,ASSAULT ,"Sec 356, 357 IPC",On Contractor,0,01-03-2021
248142448,ASSAULT ,"Sec 356, 357 IPC",On Domestic Servant,0,01-03-2021
860939184,ASSAULT ,"Sec 356, 357 IPC",On Labourer,0,01-03-2021
345473291,ASSAULT ,"Sec 356, 357 IPC",On Man (General),2,01-03-2021
653813645,ASSAULT ,"Sec 356, 357 IPC",On Man (SC),0,01-03-2021
514813209,ASSAULT ,"Sec 356, 357 IPC",On Man (ST),0,01-03-2021
701889183,ASSAULT ,"Sec 356, 357 IPC",On Manager/Executive (Other Than Public Servant),0,01-03-2021
